Wall time,Step,Value
1734419793.2867515,1670324,112.0
1734419798.120678,1675292,84.0
1734419799.6836195,1677944,100.0
1734419802.5413156,1679476,84.0
1734419812.0284784,1692436,76.0
1734419827.254547,1711644,199.0
1734419838.191392,1717032,112.0
1734419843.0145943,1721296,199.0
1734419845.6407084,1726108,164.0
1734419851.8455608,1732828,196.0
1734419858.0545454,1739740,60.0
1734419858.1878817,1739980,76.0
1734419858.8908823,1741184,96.0
1734419863.1795218,1744940,48.0
1734419865.0828445,1748324,76.0
1734419872.8773155,1758072,72.0
1734419891.2966685,1779020,128.0
1734419898.827136,1788552,128.0
1734419904.8459833,1795436,180.0
1734419907.609578,1800176,116.0
1734419911.4213026,1803208,199.0
1734419912.0861542,1804400,199.0
1734419926.6117294,1821968,56.0
1734419929.428733,1826616,144.0
1734419933.3386328,1830112,124.0
1734419936.278021,1834968,132.0
1734419946.9117398,1845876,199.0
1734419952.6906703,1851832,148.0
1734419963.1754508,1864724,199.0
1734419973.6195858,1876036,199.0
1734419975.9397848,1880132,199.0
1734419977.1060042,1881984,199.0
1734419978.0521603,1883448,199.0
1734419989.0535862,1895500,172.0
1734419996.7918692,1904736,196.0
1734420012.3368475,1922632,128.0
1734420013.9462252,1924960,199.0
1734420025.9493084,1937380,199.0
1734420040.5700657,1951296,140.0
1734420054.3414316,1965304,48.0
1734420059.7662973,1971484,199.0
1734420065.3314703,1977516,172.0
1734420068.333358,1982392,56.0
1734420074.6416063,1989628,132.0
1734420090.0015814,2006600,148.0
1734420093.4836571,2009392,48.0
1734420095.2005906,2012420,184.0
1734420095.9312255,2013712,199.0
1734420099.4719408,2016252,199.0
1734420108.237972,2026108,199.0
1734420108.325313,2026272,112.0
1734420109.3966203,2028264,199.0
1734420125.9585137,2047864,120.0
1734420156.6318407,2049236,199.0
1734420171.1462886,2065972,199.0
1734420180.2890663,2077292,199.0
1734420186.4221792,2084196,199.0
1734420208.6815171,2110228,199.0
1734420221.4853907,2124504,199.0
1734420221.564757,2124604,100.0
1734420227.7223983,2131404,199.0
1734420227.7863708,2131488,196.0
1734420230.811179,2136016,116.0
1734420231.0186636,2136388,199.0
1734420244.5972252,2153180,199.0
1734420264.750814,2177684,199.0
1734420275.0032773,2188512,199.0
1734420275.5078657,2189404,112.0
1734420276.0290868,2190336,120.0
1734420276.49526,2191132,199.0
1734420276.526692,2191184,144.0
1734420287.8993268,2203708,76.0
1734420291.7801952,2210364,60.0
1734420299.3372567,2219828,199.0
1734420317.0257394,2239896,88.0
1734420317.9032557,2241336,199.0
1734420324.606963,2249468,199.0
1734420332.699701,2259872,132.0
1734420333.0619063,2260468,199.0
1734420337.8016303,2265344,184.0
1734420338.5634804,2266580,92.0
1734420339.3688273,2267908,140.0
1734420343.5507517,2271084,164.0
1734420351.1302583,2280692,199.0
1734420357.656388,2288180,180.0
1734420370.3426588,2302420,144.0
1734420381.4575157,2317340,108.0
1734420381.5968444,2317564,56.0
1734420386.8574102,2323176,144.0
1734420388.7810688,2326336,199.0
1734420443.0165174,2375736,144.0
1734420445.77032,2380480,199.0
1734420452.3534353,2388112,199.0
1734420460.073082,2397584,199.0
1734420468.5731184,2408132,199.0
1734420472.0761662,2410404,196.0
1734420485.7935896,2425460,144.0
1734420488.4837298,2430308,199.0
1734420494.3540804,2437128,199.0
1734420502.0334094,2448712,199.0
1734420562.75832,2485368,132.0
1734420573.2198818,2499052,199.0
1734420575.2921307,2503160,199.0
1734420579.2222705,2507364,199.0
1734420580.831138,2510492,188.0
1734420582.6157503,2513860,199.0
1734420583.06865,2514656,199.0
1734420586.1551504,2517456,199.0
1734420587.3137097,2519724,199.0
1734420588.5479617,2522036,196.0
1734420592.6936176,2526888,199.0
1734420600.2320504,2538216,68.0
1734420609.3265622,2549328,152.0
1734420609.986815,2550656,199.0
1734420634.6866734,2585412,128.0
1734420635.3803468,2586760,199.0
1734420636.27221,2588476,199.0
1734420644.321023,2597692,199.0
1734420644.599752,2598268,144.0
1734420646.543759,2602028,68.0
1734420647.432867,2603736,120.0
1734420651.070579,2607656,199.0
1734420652.7562528,2610948,199.0
1734420670.553739,2635776,88.0
1734420681.4965491,2650544,152.0
1734420681.6696565,2650892,199.0
1734420686.450617,2656948,120.0
1734420688.202308,2660348,199.0
1734420694.2143166,2668736,184.0
1734420704.05118,2681400,199.0
1734420704.5257263,2682332,199.0
1734420708.6441717,2687000,199.0
1734420712.7240524,2694904,199.0
1734420715.849774,2697808,168.0
1734420726.8718824,2712424,196.0
1734420732.6739469,2720124,152.0
1734420735.156903,2724372,199.0
1734420736.2760828,2726980,199.0
1734420740.2810223,2731844,160.0
1734420745.5512736,2738708,199.0
1734420759.1436837,2758056,199.0
1734420763.125156,2762452,199.0
1734420763.7739275,2763696,199.0
1734420764.1853192,2764492,199.0
1734420777.03553,2782416,199.0
1734420777.1933517,2782736,80.0
1734420782.8709552,2790116,199.0
1734420796.6362197,2806632,199.0
1734420798.1140578,2809132,199.0
1734420802.1710608,2812620,199.0
1734420808.4386654,2820412,188.0
1734420822.3864279,2838520,199.0
1734420879.4328735,2869880,199.0
1734420886.1196194,2879212,160.0
1734420902.6466854,2901364,172.0
1734420926.889063,2935248,199.0
1734420931.9814165,2941784,199.0
1734420933.8979912,2945528,199.0
1734420939.1179955,2952308,199.0
1734420944.1410067,2958820,199.0
1734420955.9358387,2975100,199.0
1734420964.0823832,2987540,164.0
1734420968.2476807,2992316,199.0
1734420973.6444714,2999416,199.0
1734420979.7157056,3008008,199.0
1734420987.513305,3019772,199.0
1734420988.065087,3020812,199.0
1734420988.8752174,3022364,199.0
1734420996.8979754,3031340,199.0
1734420997.690393,3032932,199.0
1734421005.0860584,3043924,199.0
1734421006.343748,3046300,199.0
1734421037.2012858,3072368,199.0
1734421038.361282,3074664,199.0
1734421043.0072455,3080320,199.0
1734421046.8104544,3087696,199.0
1734421056.3798628,3099776,199.0
1734421064.912035,3112840,199.0
1734421072.69595,3121304,199.0
1734421075.993752,3127744,199.0
1734421080.4614706,3133136,199.0
1734421084.6676815,3137960,199.0
1734421086.0185764,3140652,199.0
