mean_score,total_steps,std_score,max_score,min_score
112.0,2026272,0.0,112.0,112.0
199.0,2028264,0.0,199.0,199.0
120.0,2047864,0.0,120.0,120.0
199.0,2049236,0.0,199.0,199.0
199.0,2065972,0.0,199.0,199.0
199.0,2077292,0.0,199.0,199.0
199.0,2084196,0.0,199.0,199.0
199.0,2110228,0.0,199.0,199.0
199.0,2124504,0.0,199.0,199.0
100.0,2124604,0.0,100.0,100.0
199.0,2131404,0.0,199.0,199.0
196.0,2131488,0.0,196.0,196.0
116.0,2136016,0.0,116.0,116.0
199.0,2136388,0.0,199.0,199.0
199.0,2153180,0.0,199.0,199.0
199.0,2177684,0.0,199.0,199.0
199.0,2188512,0.0,199.0,199.0
112.0,2189404,0.0,112.0,112.0
120.0,2190336,0.0,120.0,120.0
199.0,2191132,0.0,199.0,199.0
144.0,2191184,0.0,144.0,144.0
76.0,2203708,0.0,76.0,76.0
60.0,2210364,0.0,60.0,60.0
199.0,2219828,0.0,199.0,199.0
88.0,2239896,0.0,88.0,88.0
199.0,2241336,0.0,199.0,199.0
199.0,2249468,0.0,199.0,199.0
132.0,2259872,0.0,132.0,132.0
199.0,2260468,0.0,199.0,199.0
184.0,2265344,0.0,184.0,184.0
92.0,2266580,0.0,92.0,92.0
140.0,2267908,0.0,140.0,140.0
164.0,2271084,0.0,164.0,164.0
199.0,2280692,0.0,199.0,199.0
180.0,2288180,0.0,180.0,180.0
144.0,2302420,0.0,144.0,144.0
108.0,2317340,0.0,108.0,108.0
56.0,2317564,0.0,56.0,56.0
144.0,2323176,0.0,144.0,144.0
199.0,2326336,0.0,199.0,199.0
144.0,2375736,0.0,144.0,144.0
199.0,2380480,0.0,199.0,199.0
199.0,2388112,0.0,199.0,199.0
199.0,2397584,0.0,199.0,199.0
199.0,2408132,0.0,199.0,199.0
196.0,2410404,0.0,196.0,196.0
144.0,2425460,0.0,144.0,144.0
199.0,2430308,0.0,199.0,199.0
199.0,2437128,0.0,199.0,199.0
199.0,2448712,0.0,199.0,199.0
132.0,2485368,0.0,132.0,132.0
199.0,2499052,0.0,199.0,199.0
199.0,2503160,0.0,199.0,199.0
199.0,2507364,0.0,199.0,199.0
188.0,2510492,0.0,188.0,188.0
199.0,2513860,0.0,199.0,199.0
199.0,2514656,0.0,199.0,199.0
199.0,2517456,0.0,199.0,199.0
199.0,2519724,0.0,199.0,199.0
196.0,2522036,0.0,196.0,196.0
199.0,2526888,0.0,199.0,199.0
68.0,2538216,0.0,68.0,68.0
152.0,2549328,0.0,152.0,152.0
199.0,2550656,0.0,199.0,199.0
128.0,2585412,0.0,128.0,128.0
199.0,2586760,0.0,199.0,199.0
199.0,2588476,0.0,199.0,199.0
199.0,2597692,0.0,199.0,199.0
144.0,2598268,0.0,144.0,144.0
68.0,2602028,0.0,68.0,68.0
120.0,2603736,0.0,120.0,120.0
199.0,2607656,0.0,199.0,199.0
199.0,2610948,0.0,199.0,199.0
88.0,2635776,0.0,88.0,88.0
152.0,2650544,0.0,152.0,152.0
199.0,2650892,0.0,199.0,199.0
120.0,2656948,0.0,120.0,120.0
199.0,2660348,0.0,199.0,199.0
184.0,2668736,0.0,184.0,184.0
199.0,2681400,0.0,199.0,199.0
199.0,2682332,0.0,199.0,199.0
199.0,2687000,0.0,199.0,199.0
199.0,2694904,0.0,199.0,199.0
168.0,2697808,0.0,168.0,168.0
